Книга,Персонаж,Формы имени,Количество употреблений формы в книге
Дары смерти,Гермиона,"['Гермионина', 'Гермионой', 'Гермиона', 'Гермиону', 'Гермионин', 'Гермионы', 'Гермионато', 'Гермиониной', 'Гермионе']","{'Гермионина': 1, 'Гермионой': 65, 'Гермиона': 920, 'Гермиону': 121, 'Гермионин': 3, 'Гермионы': 116, 'Гермионато': 1, 'Гермиониной': 1, 'Гермионе': 78}"
Дары смерти,Гарри,['Гарри'],{'Гарри': 3458}
Дары смерти,Сириус,"['Сириус', 'Сириуса', 'Сириусу']","{'Сириус': 70, 'Сириуса': 35, 'Сириусу': 3}"
Узник Азкабана,Гермиона,"['Гермионой', 'Гермиона', 'Гермиону', 'Гермионы', 'Гермионе']","{'Гермионой': 70, 'Гермиона': 459, 'Гермиону': 46, 'Гермионы': 44, 'Гермионе': 27}"
Узник Азкабана,Гарри,"['Гаррину', 'Гарри', 'Гарриных', 'Гаррином', 'Гаррины', 'Гарриным', 'Гарриного', 'Гарриной', 'Гаррино']","{'Гаррину': 2, 'Гарри': 1977, 'Гарриных': 1, 'Гаррином': 1, 'Гаррины': 3, 'Гарриным': 1, 'Гарриного': 3, 'Гарриной': 9, 'Гаррино': 14}"
Узник Азкабана,Сириус,"['Сириусу', 'Сириусом', 'Сириус', 'Сириусе', 'Сириуса']","{'Сириусу': 9, 'Сириусом': 6, 'Сириус': 134, 'Сириусе': 2, 'Сириуса': 28}"
Тайная комната,Гермиона,"['Гермионой', 'Гермиона', 'Гермиону', 'Гермионы', 'Гермионовой', 'Гермионе']","{'Гермионой': 32, 'Гермиона': 209, 'Гермиону': 21, 'Гермионы': 30, 'Гермионовой': 1, 'Гермионе': 22}"
Тайная комната,Гарри,"['Гаррину', 'Гаррина', 'Гарри', 'Гарриных', 'Гаррины', 'Гарриного', 'Гарриной', 'Гаррино']","{'Гаррину': 4, 'Гаррина': 1, 'Гарри': 1617, 'Гарриных': 2, 'Гаррины': 3, 'Гарриного': 1, 'Гарриной': 3, 'Гаррино': 6}"
Тайная комната,Сириус,[],{}
Орден Феникса,Гермиона,"['Гермионой', 'Гермиона', 'Гермиону', 'Гермионин', 'Гермионы', 'Гермионе']","{'Гермионой': 81, 'Гермиона': 1003, 'Гермиону': 106, 'Гермионин': 1, 'Гермионы': 111, 'Гермионе': 60}"
Орден Феникса,Гарри,"['Гаррин', 'Гарриных', 'Гарротного', 'Гарри']","{'Гаррин': 2, 'Гарриных': 1, 'Гарротного': 1, 'Гарри': 4361}"
Орден Феникса,Сириус,"['Сириусу', 'Сириусом', 'Сириус', 'Сириусова', 'Сириусе', 'Сириуса']","{'Сириусу': 35, 'Сириусом': 28, 'Сириус': 613, 'Сириусова': 1, 'Сириусе': 8, 'Сириуса': 140}"
Кубок огня,Гермиона,"['Гермионой', 'Гермиона', 'Гермиону', 'Гермионы', 'Гермионину', 'Гермионе', 'Гермиониных']","{'Гермионой': 72, 'Гермиона': 614, 'Гермиону': 55, 'Гермионы': 68, 'Гермионину': 1, 'Гермионе': 44, 'Гермиониных': 1}"
Кубок огня,Гарри,"['Гаррину', 'Гарриному', 'Гарриного', 'Гаррина', 'Гарри', 'Гаррины', 'Гарриным', 'Гаррин', 'Гарриной', 'Гарриными']","{'Гаррину': 3, 'Гарриному': 1, 'Гарриного': 3, 'Гаррина': 1, 'Гарри': 3095, 'Гаррины': 6, 'Гарриным': 3, 'Гаррин': 25, 'Гарриной': 8, 'Гарриными': 1}"
Кубок огня,Сириус,"['Сириусу', 'Сириусом', 'Сириус', 'Сириусе', 'Сириуса']","{'Сириусу': 28, 'Сириусом': 15, 'Сириус': 203, 'Сириусе': 3, 'Сириуса': 40}"
Философский камень,Гермиона,"['Гермионой', 'Гермиона', 'Гермиону', 'Гермионы', 'Гермионе']","{'Гермионой': 23, 'Гермиона': 213, 'Гермиону': 12, 'Гермионы': 18, 'Гермионе': 16}"
Философский камень,Гарри,"['Гарриной', 'Гарри']","{'Гарриной': 3, 'Гарри': 1331}"
Философский камень,Сириус,"['Сириус', 'Сириусу']","{'Сириус': 2, 'Сириусу': 1}"
Принц-полукровка,Гермиона,"['Гермионой', 'Гермиона', 'Гермиону', 'Гермионин', 'Гермионы', 'Гермионе', 'Гермиониных']","{'Гермионой': 38, 'Гермиона': 532, 'Гермиону': 29, 'Гермионин': 3, 'Гермионы': 55, 'Гермионе': 53, 'Гермиониных': 2}"
Принц-полукровка,Гарри,['Гарри'],{'Гарри': 2908}
Принц-полукровка,Сириус,"['Сириус', 'Сириусе', 'Сириуса', 'Сириусом']","{'Сириус': 54, 'Сириусе': 5, 'Сириуса': 28, 'Сириусом': 5}"
